"","Insult","Comment"
"1","1","""Be careful,Jimbo.OG has a fork with your name on it."""
"2","1","""@tonnyb  Or they just don't pay attention """
"3","1","""FOR SOME REASON U SOUND RETARDED. LOL. DAMN. WHERE U BEEN NEGRO"""
"4","1","""Head's up warning...another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company. You know, those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow-up doll with red lips and\\xc2\\xa0a perfectly round mouth...if you know what I mean.\\nIF you have Progressive\\xc2\\xa0auto insurance, just know that part of your premium is going to fund a progressive liberal\\xc2\\xa0organization hell bent\\xc2\\xa0on destroying\\xc2\\xa0our country and our free speech. Their mission is to\\xc2\\xa0bring down\\xc2\\xa0Hannity,Beck,Dobbs,Lavin,Limbaugh,Boortz,etc. We must not let them win."""
"5","1","""Fast & furious didn't work out like they planned did it?.............lololololololol"""
"6","0","""Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers.\xa0 Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end."""
"7","1","""OKC should work out a deal to get a PG who plays more like Parker or CP3.  I think Nash at the point, and move Westbrook to SG that team would be unstoppable.  Imagine the shots Nash would create for Durant.  Then Westbrook would be at his natural position too, the guy doesn't create shots or distribute."""
"8","0","""um\n\xa0\nholy fuck i need a cigarette"""
"9","1","""You seem wistful."""
"10","1","""Why should they bother improving ios if they sell more phones than they care to produce. These advice are better served to the also-runs... wp first and foremost"""
"11","1","""Surely will be a crushing blow, when he doesn't get the next four years, would you consider leaving the country????????????????"""
"12","1","""@beeline @SidneyCatsby ...I'm assuming you are in school in the states."""
"13","0","""YOLO. This is hilarious. Canyon students are so racist! Even though most of us are Mexican! Fuck gabby!"""
"14","0","""and retards like you back to the institutions."""
"15","0","""Exactly. Like, I don't really give a shit how fat a person may or may not feel, but it really is shitty when your clothes don't fit. And not in a ""I'm so gross"" way but in a ""I can't very well leave the house naked!!"" way."""
"16","1","""Oh fab - we have a tennis player who has a sense of humour and who can smile. Mr Murray please note. Mind you he has left it too late to cheer up. Misery guts"""
"17","1","""You are repeating yourself, mate."""
"18","1","""You are one sick puppy."""
"19","1","""@Childerz\xa0\xa0@koosh12684\xa0\xa0@jwoude23\xa0\xa0@welfarecheese\xa0\xa0@SDL\xa0\xa0@Nonstopdrivel\xa0\n\xa0\nRight on. As long as we are both open and honest about how we come to our own conclusions, I couldn't give a shit if we disagree."""
"20","1","""@Blaine Jungwirth definitely thought that only deserved a 2, but hey, I takes what I gets!"""
"21","1","""Are you attempting to be kinky here?\xa0 You have some kind of fetish?"""
"22","0","""You get the gold star!The best post I've seen on here in months!!Hilarious...Great job,Canadian!PS I think we need you to come down here.I'll sponsor you!!"""
"23","1","""This is someone whose self-importance got the best of him. If anyone should be fired it would be Tate. This kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand."""
"24","0","""With inbreeds being the longest running malcontents."""
"25","1","""@nilbymouth \\n\\nYou are right concerning Campbell.  My bad.  The QB carosel has me mixed up.  Anyways, I still don't like Knapp and think we went that road with him once before and do not need to revisit it again.  Cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself.  If Knapp was truely great at what he does, he would have had some positive influence on this team with his quarterbacks, and in my opinion, he didn't....Carson Palmer needs a guy like Saunders whose offensive connection to him is undeniable..."""
"26","1","""If they deleted his post, I wold surely be banned for my flaming all over Joe. :)"""
"27","1","""What the hell are you talking about?"""
"28","0","""people dancing, drinking, having fun at the clubs in miami\n\n""Life is good in miami, Heat won!!!! lets get drunk""\n\n--Heat fans"""
"29","0","""Headlines going to be in a few months, Mark WRIGHT reject back home"""
"30","1","""How the fuck do you have Orange Beef but not Orange chicken?"""
"31","1","""The Korem foundation will never see another dollar from me."""
"32","1","""I just did it, but for some reason it's not registering, maybe needs some time."""
"33","0","""Yo this my nigga right here! my n my boi lil b fuck bitches on the regular, we fucking everyone bitches. tell yo boys that yo bitches aint safe when Mel Gibson n Lil B rollin out on a bitch hunt"""
"34","0","""\\xc2\\xa0""It means the world isn\\'t changing, it means the world has already \\nchanged,"" Steven Goldstein, chairman of the gay rights group Garden \\nState Equality.\\xc2\\xa0 BUT, right is right and wrong is still wrong!"""
"35","1","""@SlipResistantShoes\xa0In a few years, they'll make a damn movie about it?\n\xa0\nUncle Daddy Rides Again?"""
"36","0","""We can tell by their mugshots who is Pinky and who is Brain...lol"""
"37","1","""If you want to lick Jewish ass, go do it in Jerusalem. but stop using this country you Israel-first traitor."""
"38","1","""Actually the Packer still have the rights to Jolly."""
"39","1","""Simply terrible.\xa0 Cop should be fired."""
"40","1","""I dont know about a high chance, but definitely a chance."""
"41","1","""Can we have your address so that when you die we can all come and pay our respects, and then urinate into your urn before they flush it?"""
"42","1","""If only it could be your rectum, right?"""
"43","0","""Finally? Where have you been the past few years? Phils played hurt in 2010 and 2011."""
"44","0","""Just like the media has ventured to compare MAnu to Kobe, but where were you then?"""
"45","1","""Man I see why you celtics claim to be classy."""
"46","1","""<blockquote>                        Little girl, you, YOU of all people make that statement. How dare you after all your feminist/misogynist bullshit.\n\n\nOh, and toots, anytime you want to try anf follow me up a 21,000 foot\n mountain at 64 degrees North Latitude and not whine, bitch, complain or\n get cramps, you just go ahead and sign up. \n\n\nYou are a nypocrtical piece of shit. And anytime sweetheart. Anyplace\n on the planet. You think you have a bteer pain threshold or the ability\n to follow along in my footsteps, you just raise your delicate little \nhand. The first whine oir moan out of youy when in the field, and I will\n have a dozen cameras on you and make sure the world knows what a whimpy\n little hypocrite you are.\n\n\nPussy.</blockquote>\n\nFuck you.\n\nDon't call me ""toots"".\n\nI'm disabled, and CAN'T follow you up a mountain of ANY size.\n\nI also deal with CHRONIC FUCKING PAIN, DAY IN, DAY OUT.\n\nMeow meow, fuckstain."""
"47","1","""Mine too. So I just assume all the time over what it was. \n\nMost of the time, they are correct assumptions."""
"48","1","""I Made a Joke.....A Joke you did not get.... A pun on color if you will.\nYou need to Relax.  Look at my Pic.  I'm a white guy calling white coaches dumb....If you cant get that, then you must be 10 y/o."""
"49","1","""Here he is explaining how they tried to have him killed for propaganda purposes.\n\nhttps://www.youtube.com/watch?v=NXeXl1SDU8c&feature=plcp"""
"50","1","""sounds like\\xc2\\xa0Venezuela...ah, the road to being a banana republic with the emperor with no clothes that his minions the media insanely keeps insisting he isn\\'t naked...\\nand what is up is down and what is right is wrong.\\n\\n""The prince of this world"" (John 12:13) \\xc2\\xa0is a master of false systems. \\xc2\\xa0He crafts entire schools of thought that can suck us in and destroy us...He\\'s behind false religions, false\\xc2\\xa0philosophies, false doctrine, false morality, and every\\xc2\\xa0system\\xc2\\xa0of that that cannot lead anyone to God. \\xc2\\xa0He has infiltrated governments, economies,\\xc2\\xa0educational\\xc2\\xa0institutions, and anything that has influence in this world. \\xc2\\xa0The conclusion John came to is sobering. \\xc2\\xa0""The whole world lies in the power of the evil one""(John 5:19).\\n\\n\\'The Invisible War\\', Chip Ingram"""
"51","1","""@thebaskett\xa0\nCool. \xa0How the fuck are you and how do you grade the Vikes' draft?"""
"52","1","""Keep the money away from Kenny. Over \\xc2\\xa3110 million spent and 7th in the league. ROFL"""
"53","0","""hey rynthih95 who the hell r \xa0u speaking on sachin .\nshut up u fucking ass [[midfing]]"""
"54","1","""hey jurbinsky your mom's a pile of garbage why don't you shut up."""
"55","1","""aside from that, they tend to run to the doctor all the time. My wife sees a doctor at least 3 or 4 times a year. Last time I saw a doctor was when I broke my hand 27 years ago."""
"56","0","""Islam Vs. Judaism: \xa0\nIn 2007\xa0Islam and Judaism's holiest holidays overlapped for 10 days.\nMuslims racked up 397 dead bodies in 94\xa0terror attacks\xa0across 10\xa0\ncountries during this time... while Jews\xa0worked\xa0on their 159th Nobel Prize."""
"57","1","""IN THE LIAR'S OWN WORDS:\n\n\n\n\nFlashback 2007: Obama attacked trying \u2018to hide behind\nexecutive privilege\u2019 \n\nCNN\u2019S LARRY KING: \u201cDo you favor executive privilege or should Karl Rove and\nothers in that like position be forced to testify before the House or Senate?\n\n\n\nOBAMA:\n\u201cWell, you know, I think we\u2019ll \u2014 we\u2019ll determine over the next several weeks\nhow this administration responds to the very appropriate call by Patrick Leahy,\nthe chairman of the Judiciary Committee, to have these individuals come in and\ntestify. You know, there\u2019s been a tendency on the part of this administration\nto \u2014 to try to hide behind executive privilege every time there\u2019s something\na little shaky that\u2019s taking place. And I think, you know, the administration\nwould be best served by coming clean on this. There doesn\u2019t seem to be any\nnational security issues involved with the U.S. attorney question. There\ndoesn\u2019t seem to be any justification for not offering up some clear, plausible\nrationale for why these \u2014 these U.S. attorneys were targeted when, by all\nassessments, they were doing an outstanding job. I think the American people\ndeserve to know what was going on there.\u201d"""
"58","0","""OK, that \\xc2\\xa0is fine. He still likes to suck on pinky toes.\\xc2\\xa0"""
"59","1","""looks like while you guys have extended B-P with Mariners we've got Barn-Duty for you...?\nsay we do and we do our job, y'all remember that won't ya kindly?\n\nas I always say (and feel :) good luck Texas, have at it!"""
"60","1","""What the fuck?! Kane loses again?! Has he won a match since going back to wearing a mask?!"""
"61","1","""another hot button election smoke screan. The realalty is WHO CARES.\\xc2\\xa0 The gay comminity should be allowed to have the same difficultries the rest of us go throught.\\xc2\\xa0\\xc2\\xa0 I agree with Christie put it on a ballot for the public to vote on.\\xc2\\xa0 This way repubs can do what dems do take no ownership of this.\\xc2\\xa0\\xc2\\xa0 really who cares"""
"62","0","""yes he does my dick is hard\xa0 right now\xa0 i jacked off to him and pretended that it was someone else i knew"""
"63","1","""Conservatives are social leeches and the scum of the earth."""
"64","1","""Joe Paterno let an accused Pedophile roam the campuses free....when Sandusky was charged in 1998....Paterno simply let him ""retire""----and why did no other college in the NATION try to recruit Sandusky? Because they KNEW he was dirty filthy pedophile...yet Paterno continue to befriend him...even letting him use the locker rooms...so that...another boy could be ANAL RAPED in the locker rooms of Penn State....Ask yourself...why would Paterno even CONSIDER letting a Man (friend or not)----back on campus after accused of being a Pedophile?!?! Unless Paterno didn\\'t care? Paterno is just as much to blame..was his stupid decision to let the man back on campus after a D.A. was investigating and continuing to investigate Sandusky up until 2005 when the D.A. went missing and is presumed DEAD (oh and his laptop and hard drive were destroyed too...can you say cover up?!!"""
"65","1","""There's a book out which tracks Art Rooney's path from bootlegging and gamling to the NFL..I only point this out to illustrate how money and time can make perceived deficiencies evaporate."""
"66","1","""But Bellinski you are a Jewish Feigle yourself !"""
"67","1","""We are creating another whole segment of society that will never work again by extending unemployment.\\xc2\\xa0 Who even would hire someone who had not worked in 2-3 years.\\xc2\\xa0 After 2-3 years most people are unfit to work mentally.\\xc2\\xa0 The real hustlers went out and got a job, even if it was less than what they were used to.\\n\\nDo you people hear the roar!?!?\\xc2\\xa0 Our country is rushing towards the waterfall!\\xc2\\xa0 Look at what is happening is Greece!\\xc2\\xa0 What makes me mad is obuma may not be able to stop us from going over the falls but he could cushion the blow yet all he thinks about is getting re-elected!\\n\\nNot much time left for us!"""
"68","0","""Must really suck to be black. What a toxic, vile culture."""
"69","0","""Big Deal Libturd... go crawl back under your rock..."""
"70","1","""Because of biblical prophecy, which speaks of two distinct camps emerging within the Middle East in our day, we know a divorce is coming between the two.\\xc2\\xa0One camp is prophesied to be led by Iran, the other to include Syria. These two are destined to play very different roles in the sequence of end-time events that lead up to Jesus Christ\\xe2\\x80\\x99s Second Coming. Syria is the keystone of the pro-Iran axis. Weakening the Assad regime, to say nothing of its collapse, would be a blow to Iran, Hamas and Hezbollah.\\xc2\\xa0 Syrian opposition chief has already pledged to cut military ties with Iran should he come to power.\\xc2\\xa0 It is God, the God of Abraham, Issiac and Jacob who is lining up all these chess pieces, not our feckless government or the UN.\\n"""
"71","1","""Do you feel less sorry now that you made us realize how stupid you are?"""
"72","0","""Quit yelling, you tedious old hack.&nbsp; Why do you care anyway? You made up your mind ages ago, things like ""facts"" and ""new information"" and ""nuance"" don't matter to you, you effing link whore."""
"73","0","""Forreal Black - You are an A-HOLE"""
"74","0","""@SocialMedia411 New Twitter Brand Pages: http://t.co/pX2n02qY II  Interesting to see merchants - thought leaders or just sales people?"""
"75","1","""Very sorry I mentioned it.\xa0 Just keep bitching here where you are SURE it will amount to nothing."""
"76","0","""No, but you can't just treat someone like a piece-of-shit just because you think your shit don't stink.  No one is above the law, so by law you have the right to ask a person to leave your property if they are disturbing the peace or damaging property, or stealling."""
"77","0","""What ever make's you sleep better at night ."""
"78","0","""i fucking love peanuts"""
"79","0","""so basically you are an id iot who just repeats what maddow and rev al have to say."""
"80","0","""In pittsburgh pussy ass cops woulda started shooting and killed a innocent by stander... North Philly niggas dgaf n der cops is soft. . . round here nigga put a glock to your head and not think for a second before blasting your face in nl99@!"""
"81","1","""50 so promptly stated that he was going to release his album in the first week of July with or without the assistance of his label. Regardless of all the promotions and marketing and what not, he was going to release his final LP at Interscope. And he was adamant about it. That's about 3 weeks from now. In 3 weeks, artists almost ALWAYS have out at least the first two singles of an album and the tracklisting with features and production. This mother fucker still doesn't even have a fucking TITLE! An album allegedly due in 3 weeks, without a single, tracklisting, producers, album art, and a goddamn title. Fuck these videos, 50. If you really care about hip hop and your fans like you claim you do, you'd focus on your fucking album..."""
"82","1","""they did describe the color of the gun"""
"83","0","""fuck your god."""
"84","0","""Fuck you Luther Abel"""
"85","1","""UncoolOlga nigga please i'm a girl you're a dog jaden is mine"""
"86","1","""lol you morons think im black ? nope im same like you boeti only think is i hate you racist batards :)"""
"87","1","""Hahahahahahahaha!!!!!!!!!\xa0 Hahahahahaha!!!! Good one porno.\xa0 I used to think somewhat like him when I was young. Pretty insane,huh?"""
"88","1","""Actually, I read through your comments in DISQUS, sonny.  If y'all are a ""moderate"" then Barack is a conservative.  And there is far more evidence of Obama's Kenyan birth than that fake crap from Hawaii.  From his OWN lyin' mouth as well as his fat sow of a wife pie hole as well.  Moderate, mt ass...."""
"89","1","""Oh my, they blow up so fast."""
"90","1","""<cite>\nExactly how often did your daddy r\xe4pe you? Weekly Hourly?\n\nYou're easily the most depressingly buttf++ked piece of shite ever to vomit their halfassed moronic excuses for the English language on this site. \xa0You think you're being clever, but your grasp of colloquialisms and sarcasm are hilariously pathetic. You're a fool. Your posts are puerile and you personally have no value. \xa0Nobody here likes you. H\xe9ll, nobody here even <i>tolerates you</i>. If these people could recognize you on the street they would spit on you. My best guess is you're the result of unprotected buttsex between your mother and the family dog. \xa0An abomination with no justifiable reason to exist.\n\nNow do us all a huge favor and <b>go fuckyourself with a chainsaw</b>, ""Sparky"". \xa0Slowly and painfully.\n\nEveryone! Blow this pathetic Obamatroll <i>a big sticky sphincter kiss!!!</i>\n\nMMMMMMMWWWWWWAAAAAAAAAAAAAA!!!!!!!!!!!!!!!!!!!!!!!!!!\n</b>\n\n\u2026\u2026\u2026\u2026\u2026\u2026\u2026./\xb4\xaf/)\n\u2026\u2026\u2026\u2026\u2026\u2026..,/\xaf../\n\u2026\u2026\u2026\u2026\u2026\u2026./\u2026./\n\u2026\u2026\u2026\u2026./\xb4\xaf/'\u2026'/\xb4\xaf\xaf`\xb7\xb8\n\u2026\u2026\u2026./'/\u2026/\u2026./\u2026\u2026./\xa8\xaf\\\n\u2026\u2026..('(\u2026\xb4\u2026\xb4\u2026. \xaf~/'\u2026')\n\u2026\u2026\u2026\\\u2026\u2026\u2026\u2026\u2026..'\u2026../\n\u2026\u2026..\u2026\\\u2026.....\u2026\u2026. _.\xb7\xb4\n\u2026\u2026\u2026\u2026\\\u2026\u2026\u2026\u2026..(\n\u2026\u2026\u2026\u2026..\\\u2026\u2026\u2026\u2026.\\\n\n</cite>"""
"91","1","""If she had an expired Visa, she should have gotten a MasterCard."""
"92","1","""\\xc2\\xa0You obviously have NO CLUE who Ronald Reagan was----you pathetic ignorant puke"""
"93","1","""I like the cover that is a keyboard. Good idea. Hopefully it will be better than the nokia windows 8 phone. Okay, but not great."""
"94","1","""Your notion that you are sexually abused because you are hitting on newcomers and want to be justified in that sounds exactly like the pathology of a predator. Better check yourself."""
"95","1","""Nana I got my first pair of NB shoes a few months ago and and they have really worked out well for me."""
"96","1","""Whoever checked ""libertarian"" has been hitting the bath salts."""
"97","1","""Like I said, I liked the VIDEO! Not the song...obviously your mama is a DUMB OLD BITCH! She didn't teach you the first amendment?\\xc2\\xa0\\n\\nRoman Darling...Soft ass nigga... hahah!!!!"""
"98","0","""@jakesnake99 @skywaker9 (David) There's enough Rhino for the both of you."""
"99","0","""Are you insane?"""
"100","1","""how people bring a story about a sandwich into a conversation about religion, abortion, and rape is beyond me, but that being said....\\n\\nHEY GOVERNMENT!!!\\xc2\\xa0 Stay out of my kid's lunch box.\\xc2\\xa0 If I want my kid to eat paste and looseleaf paper for lunch, that is my business.\\xc2\\xa0 \\n\\nThe most hilarious part is, I bet the people making the decisions of what children can and cannot eat have more rolls on their belly than the local deli has at lunchtime.\\xc2\\xa0\\xc2\\xa0\\xc2\\xa0 \\n\\nIf the lawmaker who proposed this, AND all the people who enforce it (including school officials) can show me 6 pack abs and their marathon finishing time (under 3 1/2 hrs only please), then maybe I'll listen to their stupid a$$es about what my child should eat.\\n\\nI only wish they try doing this to an attorney who loves to litigate because he/she will break that school district in attorneys fees alone....hell, maybe I'll go pro-bono and do it myself"""
"101","1","""Your email address is not visible to other commenters."""
"102","0","""Don't let silly things like facts about other manufacturers get in the way of blind Apple hate.\xa0 Please, it just upsets these people who have absolutely no interest in the product what-so-ever but feel the relentless need to spam the comment sections of news posts."""
"103","1","""Did you really use the word ""evoking""?"""
"104","0","""Michelle, did you have a macro lens or is this just off something like a 18-55mm?"""
"105","1","""""What happened to all the talk about that industry hurting because Obama wouldn't let them drill all over the place.""\n\nThat, is what you call a straw man arguement. \xa0No one is saying the ""industry is hurting"", because it's not.\n\nWhat people are saying is that it's moronic to send almost a billion dollars a day to countries that hate us when we could be developing our own natural\xa0resources."""
"106","1","""more spin from the Tea party bleachers!"""
"107","0","""Citizens United didn't have squat to do with the WI recall. \xa0\n\nhttp://campaign2012.washingtonexaminer.com/blogs/beltway-confidential/citizens-united-real-impact-wi-recall-zero/583241"""
"108","1","""Jay-- My condolences to you and your family. It's a terrible way to get a wake-up call, but I'm glad you've found a way to channel this terrible loss into something positive for you and yours. Enjoy life in the (slightly) slower lane.  """
"109","1","""Database systems are what I do for a living...."""
"110","1","""She was kind of a main character."""
"111","1","""Well Braves were bound to break out the losing streak... Nobody better to do it against than sorry a ss Westbrook"""
"112","0","""The U.S. govermet spends billions of dollars every year guarding against al qaeda."""
"113","1","""re: luke babbitt -- the funniest tweet i've read all year was the luke babbitt original chalupa 3 written as an ESPN 30 for 30 promo... """
"114","1","""@peter8888,\n\nYou showed your true colors. In addition to comment misdirection, you are now using name calling and innuendo.\n\nName calling, innuendo, comment misdirection, the last refuge of someone who has no viable, logical, or well reasoned comment."""
"115","1","""Many\xa0Sri Lankans\xa0talking shit\xa0as usual.\xa0we\xa0must build\xa0sri\xa0lanka\xa0we\xa0must work together.\xa0when\xa0will you\xa0understand that??"""
"116","1","""BUDDHA  IS  A FAT ASS SLOB..........NUFFFFF SAID.  HE IS THE FAKE.  YOU MORON."""
"117","0","""Thats just a clich\xe9...and typical, baseless and silly accusation that homosexual advocates throw out there to try to scare off your adversaries. Whats next"" Im a homophobe? I'm a closet homosexual? I'm a bigot? LOL. Come on..you can do better than that can't you? That stuff is all worn out. Find something new to say about me. Lets see you be really imaginative."""
"118","1","""You are the one who brought up the topic Kalifornia Ken-doll\n\nand then you whine like a beech when somebody calls you on it?\n\nwhatever....\n\nkeep trolling for a teabagger Ken-doll....you may get lucky Kalifornia phaggot"""
"119","0","""Not really what it says a lot about is your lack of understanding on this subject."""
"120","0","""buzz off you twat"""
"121","1","""Demoralized is the only word i can think of if a current soldier is reading these comments."""
"122","1","""Your Teabilly slutchild is just as ignorant as her mother.\n\nYou people are the trailer trash of America."""
"123","0","""oh and Leigh...don't you normally pick a front runner by now...."""
"124","0","""SO everyone is on board for that mosque to be built near the Twin Towers?"""
"125","0","""Garfield....is that near Dixie Manor queeny? Or is that Key West for homosexuals of your kind homie?"""
"126","0","""no - you are."""
"127","1","""""Oh! Oh! I got an idea! How 'bout we do a song that's not whiny bull crap?\u201d - Peter Griffin talking to Coldplay in Family Guy Season 8, Ep. 16\n\n'par' (I think I'm starting to like this word, not entirely sure I'm getting the usage correct)"""
"128","1","""no doubt the poor woman will be offered a good deal on a car when she turns up at the garage."""
"129","1","""Dodger radio playing tunes of ""fuck you"" at end of commercial break. They must be reading our comments."""
"130","1","""We were thinking back in time when a young GHWB was goaded by his ambitious young wife to eliminate JFK., \xa0it would go something like this,Babs, I can't stand that JFK, get rid of that white trash. \xa0Then a little while later Babs said I can't stand that MM she's gonna run her mouth and then, RK is finished. \xa0Now that would be a much better HBO movie...the white-washed Bush Legacy is getting tough to swallow."""
"131","1","""Gosh, Peggy Hill ... Don't make me laugh.\\xc2\\xa0 In addition to money ... Romney won because Newt is bombastic and is a serious liability in the general ... all the polls show it and intelligent conservatives feel it ... this is about style not substance.\\xc2\\xa0 Both will do the same thing in office just with entirely different styles.\\xc2\\xa0 Newt ruffles feathers all day long drawing stark contrasts even when it means lying or exagerrating ... like calling Mitt anti-immigrant on national TV ... unbelievable.\\xc2\\xa0 And since Peggy Hill knows far less about national politics than I do since I have studied it for 25 years, I'm not inclined to be persuaded by her.\\xc2\\xa0 She describes the political scene like I used to 15 years ago ... with little to no expertise, so I don't pay her a lot of attention when we disagree.\\n\\nPeggy Hill is a Great American and I love her and Newt dearly but this is not the time to vote with my heart ... way too much at stake!\\xc2\\xa0 Newt is the world's best field general but his\\xc2\\xa0temper and tone are wearing me out and I'm conservative ... I can only imagine how offended Independents are beginning to feel.\\xc2\\xa0 \\n\\nSure it helped that Mitt raised more money ... that is essential in beating Dingle Barry ... Peggy Hill sounds like an OWS'er ranting that Mitt had more money ... thank God he did ... that's what it's all about!  So you Newt zombies really ought to do the Hokey Pokey and turn yourselves around, lol.\\n\\nIf Newt will fold under lies and carpet bombing ... as he said he would ... then he's got zero chance of beating Owebamao ... think about it ... that's all Barry does.\\n\\nI don't care too much that Mitt is uninspiring ... I know he can beat Owebamao and I know he will attract Independents and Latinos in 2014... particularly with a Romney/Rubio ticket.\\xc2\\xa0 My first choice for POTUS is a Christy/Rubio ticket ... neither are running but both back Romney.\\n\\nBy the time Super Tuesday rolls around, Mitt will prolly already be the clear front runner but I never count Newt out.\\n\\nBut for Peggy Hill to be upset Mitt raised and outspent Newt is laughable .... that's what you're supposed to do!\\n\\n\\nBTW  -  Remember the Sirens???\\n\\nBeautiful half-woman, half-bird-like Newt creatures who sang such sweet songs that listeners forgot everything including their own safety. The Sirens are Newtish sisters who lure sailors to their death. The sonsg of the Sirens are irresistible but they reside beyond unsurpassable reefs which destroy the sailors' boat when they try to reach the Sirens. Among those tempted were Jason on the Argo and Odysseus. Odysseus escaped from them by filling his crew's ears with wax while he tied himself to the ship's mast ... just sayin'."""
"132","0","""But they will care that you were here Mikey.\xa0 Hey look he likes it.\xa0 Hey Mikey likes it."""
"133","1","""He won Michigan in the primaries.  Holy shit, your dumb."""
"134","0","""yeah well director interpretation isn't always the best insight for things like this, especially with something with such a rabid fan base. On top of that i think they are condensing more than i would have liked...even if the golden age was kinda meh in comparison to the drama going on now, i would have at least liked for them to show them doing their thing on the battle field."""
"135","1","""You KNOW the RULES - one DELETE equal 50 REPOSTS\n#37 WHAT is his EXAMPLE of TOTALITARIANISM in the USA? Here it is...Last August, Obama's DHS announced it would no longer deport the noncitizen spouses of gay Americans\xa0\xa0\nLOL, get yer musket Myrtle and follow me into the BUNKER! They'll not take us alive!!"""
"136","0","""What's his story? Sporadic starts? Never over 5 innings?"""
"137","1","""All racists like you are morons, dude! \n\nIt just happens most pit bull owners are morons too & this has even more convinced me of that."""
"138","1","""You are a fucking idiot."""
"139","1","""I imagine he lives in Virginia, he's wouldn't live with the riffraff in DC."""
"140","1","""""obviously clean"", you are in denial"""
