"","Insult","Comment"
"141","0","""I bet the songs on the upcoming CD were written for This twit. The message was she is a progressive. She knows where her\\xc2\\xa0 bread is buttered.\\n\\nI have never even heard of her.\\n\\nI bet if she had to write her own material. Ms Hoe would be a major disappointment to her idiotic fans.\\n\\nWhat was her message with the exorcism? CBS management look like total knuckleheads. No wonder their ratings suck.\\n\\nBring back garage bands. They play instruments, write their own material & perform to their fans.\\n\\nMost of the music truly sucks today. Record executives don't even try to find pure raw talent.. It seems they try to clone their stars. Visual imagery for shock value\\xc2\\xa0over solid Rock-n-Roll.\\n\\n"""
"142","0","""Just a thought. About those unwinnable, illegal wars. If they were illegal wouldn't you think Bush and Cheney would have charges brought up on them by now? Fact is they were on the level its just another example of the liberal media getting alll you liberals wound up tighter than Dick's hatband. Just like little wind up toys, get you started and away you go! \n\nIt's time to start thinking about Impeachment of the Dope Head in Chief."""
"143","1","""Looks like there's fixin to be a shootout"""
"144","0","""why the hate man? Done nothing to you....ever...."""
"145","1","""How hard is it for the bimbo to use a towel or baby blanket for a coverup? Toss one in the diaper bag and USE it!"""
"146","1","""Whoever takes out the Heat in the playoffs will be America's Team."""
"147","1","""Romney is a business who has solid ideas about bringing jobs back.\n\nRomney wants a strong military ONLY as a deterrent to attacks by other countries all over the world.\n\nBTW, you liberals use the term ""tax cut"" which is false. A true ""tax cut"" is when \xa0our taxes get lowered.\n\nThe liberal version of a ""tax cut"" is when tax payers are allowed to keep some more of their hard earned money. NEWS FLASH to Liberals: \xa0 \xa0IT'S NOT YOUR MONEY."""
"148","1","""Are you sure he's even a real person?"""
"149","1","""""Good job, Eric. \xa0 You defended yourself against your unarmed little \nbrother, who you claimed to love. \xa0 You took that gun with you on \npurpose, and you darn sure got to use it, as you intended.""\n\nA little harsh, aren't you. Nothing like piling on when the guy on the bottom, who admittedly made a huge mistake, is already feeling terrible about it. You are in no position to judge him...perhaps you should try walking in his shoes. His life has been changed forever. And I doubt he premeditated to kill his brother. That's not how accidents happen. Was he careless? Yes. But I doubt he's a murderer."""
"150","1","""Hi Ally.\xa0 Glad you liked Gambler Gal.\xa0 She would be my alter-ego IF I had a bunch of moolah to spend.\xa0 Alas...this is not the case.\xa0 I like the penny slots, too, but you can sure cram a heck of a lot of money into those machines if you're not careful.\xa0\xa0 Sheesh.\nHUGS!"""
"151","1","""Oh, fuck. Yeah, he's not kidding, guys. It's images from the attack, and holy shit they are in a whole new world of graphic."""
"152","1","""Got your back, here, r_dale. Good post. Typical of the gun nuts in Utah."""
"153","0","""Commenter?\xa0 Your very childish.\xa0 Grow up and be a man.\xa0 Stupid remarks like yours just proves that you are a little boy and have yet to understand what it means to be an adult."""
"154","1","""Awesome font and color on your card:)"""
"155","0","""Laird ans Avila (and Santos) may be among the Tigers' most marketable players- at least as far as trading for a starting pitcher or a starting 2B is concerned."""
"156","1","""you're a fighter not a lover,and your family needs to die too."""
"157","0","""I think I'm in love with you..."""
"158","1","""It's the title that matters in this case :)"""
"159","1","""You are an idiot.......why do you even bother..??.Wasted words."""
"160","0","""Irony? This has nothing to do with! You just can't take off your rosecolored glasses long enough to see that there is a real problem a dodger stadium! They need to tear that dump down and relocate"""
"161","0","""But, you couldn't show ANY proof of that, even if it was true.\nGo away. You are an embarassment to your Klan brothers, your family, your neighbors, your teachers and America as a whole.\nFind something to say that is not directly quoting Nazi or Stalinist propaganda. \nThe most pathetic poster on the web. You are below Oberbite, a Soros trool or the ignorant little heap that wwrote ""Waiting to Exhale""."""
"162","0","""iv installed but siri just says unable to help please try later ?"""
"163","0","""wtfff is this shit??? he shot the fuck out for this shit.. Diz won and i only seen this clip of the battle. smh..."""
"164","1","""You are an IDIOT!!!"""
"165","1","""I'm assuming he has a mustache as well as the headphones and ipod case? It probably would have been more relevent to mention that."""
"166","1","""try speaking in correct english as well. what dummies are on here today."""
"167","1","""He's not an Isolationist. He just does not want a foreign policy that ends in America stomping all over the world like Babylonians. \\n\\nOnly RON PAUL will defend Israel when they blow up Iran's nuclear sites\\njust like only RON PAUL defended Israel when they blew up Iraq's nuclear sites.\\n\\nRon Paul is hardly an isolationist, he just recognizes a lot of tough truths about America's foreign policy that the self-righteous warmongers just can't seem to swallow. """
"168","0","""Moral of the story:\n\nWhen defending your family, property, and self against a prowler, shoot to kill so they can't come back and sue you."""
"169","0","""NobodyKnows,\n\nfrom your mouth to God's ear.\n\nyours, satx"""
"170","1","""Kelly made Idol. They owe her as much as she owes them. She is an international superstar because of her voice and hard work not because of Idol. Kelly would have been famous with or without Idol because she lives for music and has a gift from God."""
"171","0","""I like your style"""
"172","0","""So you don't actually care about making women feel welcome as part of your professional community, which is generally impossible for a woman living in a sexist society to do (this one) when attention is being drawn to how her colleagues see her as a sexual object. Why don't you just admit it and be honest? I would feel really refreshed if someone like you said, for once, ""We don't want women in our field."" It would look stupid and ridiculous -- since why would you throw away half the available talent just because you want to sexualize everything? -- but then we could actually discuss the real point instead of derailing, dismissive, prevaricating, and dissembling discourse of which this one is an excellent example."""
"173","0","""You're certainly what Lenin called a ""useful idiot"".\xa0 If you like Islam so much, go where it is practiced ""just the way you like it"".\xa0 Get to beat your wife and will, kill your kids for whatever reason turns you on, lie to anyone about anything just because ""it furthers the cause of Islam"" and others around you ACTUALLY BELIEVE YOUR LIES."""
"174","1","""@Old Man Game\xa0\xa0@jameshardensbeard\xa0\xa0@Lost Ones\xa0He has ""shit"" in his name. \xa0They should have known."""
"175","1","""CEO TOP is not happy of what you are doing YOUNGBAE, your nipple distracts me LOL"""
"176","0","""So, you don\\'t want to bring people out of poverty, Mitt? What exactly is this ""safety net""? Welfare programs? I thought you and your ilk wanted to cut those.\\n\\nYou\\'re not concerned about some honest Americans who, sadly, sometimes have to eat stone cold cans of Chef Boyardee ravioli to live since it is ""economical"" ?\\n\\nYou\\'re not concerned about those who want a job? Or those who want a better standard of living?\\n\\nYou were born into a <i>millionaire</i> aristocracy. You won God\\'s ""genetic lottery"" Powerball before you were even born. You should consider yourself very lucky and try and help the less fortunate with your wealth rather than hoard it in a little tropical island.\\n\\nYou, sir, are an complete asshole. What a selfish, callous, and bigoted remark to make.\\n\\nNobody lives in poverty because they want to, Mitt."""
"177","1","""I will go back to my lenses now and try to spice it up a little."""
"178","1","""eww i like BB but saying the rest of kpop isn't real music just makes you sound dumb as fuck. go back to your wonderfully lame articles and leave f(x) alone. also thanks for increasing our views count MUAHAHAHA."""
"179","1","""there is a lot of assad slave (shabihah) here fuuuck them"""
"180","1","""yerpathetic                                                                           0 minutes ago              in reply to\xa0design4u1                          \n\n                                \n                                \xa0LOL!!\n\nYou are an idiot.\n\nBut don't worry.\n\nAmerica ALLOWS you to be an IDIOT!!      \n                                  \n\n=======================\n\n\xa0You Canadians never answer this question why?"""
"181","0","""Oh I think I do. Let's put it this way, it's not like watching United.\n\nOnly muppets like yourself can see that's good football. Listen good on them for qualifying, but the football is dross and a 100 odd idiots posting here isn't going to change that.\n\nSo think again about who the thickos are and add your name to the list."""
"182","1","""jonx,\nYou are crazy, just plain crazy."""
"183","1","""how do you know mother fucker stop assuming shit you don t know you don t know that man like you hypocrite son of a bitch"""
"184","0","""Well you ARE special . (damnit Clown )"""
"185","1","""And you are a terrorists pig."""
"186","1","""Oh CJ, Cj, Cj, you fat ugly bitch! Its just so funny how much you NEED us! You need us to tell you that your husband would rather fuck a barbed wire covered glory hole than touch your 53 year old moldy vagina. You need us to tell you about the health problems your poor children are going to suffer thanks to your fast food and brownie diet. Poor tweenie is going to be teased in school for being tubby. You need us to tell you how stupid you are to go off of a fucking car thermometer to determine the outside temperature and then compare it to a fucking tropical climate state like Florida. How the hell do you function in life? Oh wait, you dont. You sit your fat worthless ass at a computer all day ranting about gay marriage. I hate to break it to you but I guarantee your darling son Sam is going to grow up to be the butt pirate you so hate. What are you going to do then? Throw a bible at his head? It wont knock the gay out of him! Even worse little Sara is going to grow up to be a......LIBERAL! Gasp! Oh nos! So your tweenie is going to be a fatty, sammy a gay, and sara a tree hugging hippie! Looks like your ""christian"" mothering sucks and you should try another route. Might I suggest getting the FUCK OFF THE COMPUTER and going to spend time with them?"""
"187","1","""Cars was like, ""fuck this i'm outta here."""""
"188","0","""lol Igor should be in it. He can penetrate people with his long ass nose."""
"189","1","""These descriptions of Zama might as well be SHAPE HS.\xa0 The same divisions, nastiness, weak leadership in both the principal and the new assistant principal are as evident in Mons as in Zama.\xa0 After Ms Fitzgerald cleans house in Zama, she should head directly to Belgium."""
"190","1","""You suck. You probably don't have any friends. Your family probably abandoned you in disgrace. Go crawl back under a rock and do this world a favor and stop existing. You think you are cool because you think you understand the situation and call this man a coward and pathetic. Well congratufuckinglations. You just showed the world what a doouchebag you are. I don't know if its because you are emo or you think trolling will earn you respect but i don't give a damn. Go dig a hole, bury yourself in it and stay there. If you don't have anything good to say you better expect nothing back."""
"191","0","""Your point is as valid as the hole in your head that you obviously gave to yourself before making such an idiotic statement. And bringing politics into it? Could your trolling be more obvious?"""
"192","1","""Mr. Genetski receives a salary paid by the taxpayers. We are paying his legal costs. \n\nJust like YOU are paying for a teacher's night out at the bar?   Get over yourself."""
"193","1","""@WetShoesClassic @Hoss   I got to a point where I started eyein' the liner notes every time I listened to a Zeppelin song to see what blues artist wrote it"""
"194","1","""That is because you are not a fan. Go watch the Heat with the rest of the bandwagon jumpers in this town. So very sad."""
"195","0","""How do we know Terry Krepel is your real name.\xa0 If you are not a gutless coward, you'll provide an address and phone number.\xa0 Now, we are paying attention...don't be a gutless coward and p*ssy!"""
"196","0","""Have you always been a victim?"""
"197","0","""Yep people can be pretty dumb -- exemplified by your #1 argument."""
"198","0","""Did you read the article? They never married. \n\nAnd YOU do give a crap because you're commenting...."""
"199","1","""@TeeBooWa\n\xa0HAH YOUR'E ONLY 14? FPFF AND YOU TELL ME WHAT TO DO? I'M WAAY OLDER THAN YOU WHO YOU CALLING A BITCH AND A FUG? YOU DOUCHE BAG BITCH I WANNA PUNCH YOUR EYEBALL OUT AND KILL YA FUCKYA"""
"200","1","""You're probably a phuuking dyke....aint ya beotch ?"""
"201","1","""We are crap, you said it yourself."""
"202","1","""Because you are so cool, that's why!!!!"""
"203","1","""@SusieMo\xa0http://candk.ytmnd.com/"""
"204","0","""Santorum needs to stop whining about the negative adds - he\\'s been free-riding at Newt\\'s expense this entire time so now it\\'s his turn in the box.  After all, he\\'s a lawyer and needs to suck it up - but of course he doesn\\'t want people to know he\\'s an attorney since that might spoil his choir boy image.  Newt said he wasn\\'t for mandates so rick needs to stop promoting it.  Besides, rick didn\\'t mind piling on with Mitt to try to bury Newt early on.  But at the end of the day, what solutions does rick bring to the table? He didn\\'t do anything when he was in congress and time after time he ABANDONED HIS PRINCIPLES TO PLEASE THE LIBERALS IN PENNSYLVANIA! And what did it buy him?  A 19 point drubbing in his re-election!\\n\\nAs for the campaign, he\\'s brought no rational or reasonable solutions to the table - instead, like mitt, his best solution has been to say ""I agree with Newt""  - and his economic logic is elementary and fatally flawed.  Newt has been spot on predicting where king hussein obama is leading us, including the attack on the church, which is simply the avenue to establish the legal precedent that the WH has the power to tell us - all of us - how to act, how to respond, and what to think!  That\\'s the real issue from obama and his henchwoman michellivelli!  Not only will rick be behind on tidal wave of rot that will flood him if elected, he will not be able to get congress to do a darn thing!  And when his failed 4 years are over, the demonic dems will come back to power with a vengence by simply pointing at rick\\'s miserable record and lack of ability to lead in a hail storm of enemies on both sides of him!  \\n\\nSo rick should just suck it up, stop whining and run the gauntlet like Newt has had to ... if he can\\'t stand the heat then he can\\'t lead the country!"""
"205","1","""scumbag. I read it as jimmy carter"""
"206","1","""MR PRESIDENT i ask only one thing just band sirasatv and shakthi tv, becouse they want distroyed our mother land they are\xa0not midea they are under TNA and LTTE PLEASE take action. if not one day our srilankan explose on this midea. no respect pushing small group for vilonce...and giving fals infomation on there own profit only when i see sirasa news im shame on our midea like sirasa...sakkili like sri ranga pimpi sakiliya"""
"207","1","""I went to see the Grateful Dead there on acid a few times years ago and I never fell. whats the deal with this new younger stupider generation of clean cut short haired yuppie non drug users who fall and die?"""
"208","0","""Pelosi is one of many, who is standing behind the most criminal, obummer. But if they stood really close together you couldn't tell them apart. They both, along with holder and all the rest of-em, are outstandingly/extremely deadly. They all look like death warmed over.But don't trust any of them. They look dead because they are dead, but they are the dead that can kill you if you aren't careful. I hope there will be some good news soon. I'm sick of this whole damn mess and more so, I'm hoping that We, The People, will have learned the lessons we're being taught on horrible government, from the horrible governmental places where the dumb are in those schools of law, all the way to the White House."""
"209","1","""@Mineola @Powkat\\n\\nHow \\'bout if some of those ""Catholics"" stood up to their own bishops. ""Catholics"" choose a hierarchical structure that lets bishops speak for them."""
"210","1","""that nigga joe as shit fuckk out of here u dirty ass young bull"""
"211","0","""What a selfish slutbag. That fucking fat ass chubby cheeked bitch probably got mad because her precious baby boy was hungry. How DARE he eat food! Not only do children require food to grow and become helathy adults, but this bitch probably fed them HoHo\\'s and Twinkies. I can just hear her now ""Get off my food you little shit! That\\'s MY MotherFucking Twinkie! Momma\\'s got the munchies!"" Then, WHACK with a fucking hammer. What a cunt."""
"212","1","""Larry Sinclair, come out, come out, wherever you are?"""
"213","0","""Fear the cow because he laughs at you"""
"214","0","""Wikipedia is an example of the ""dumbing down"" of our culture, aided and abetted by the internet.\nAlmost any nonsense can be posted on the internet, including Wikipedia."""
"215","1","""Tom, you are an idiot on. You suffer from whitmenitis, aka, you find it easier to blame others for your mediocre life achievements. Truth of the matter is, you simply do not have much to offer."""
"216","0","""I think they done lost their patience for this BS. I don't think they are going to wait any longer either. They will blow it up with or without the US's A-OK. Israel is right they can't wait for Iran to get more of a stockpile. They need to get rid of that or it makes it much harder for everyone else later to blow it up. Russia and China definitely aren't going to take to kindly to massive contamination heading their way if they don't do it now. The US should just be ready with cement to entomb the dam things."""
"217","1","""LMAO....Shaq should sue your a.s.s for making stuff up that he did not say...."""
"218","0","""Thank you for your thoughtful and informative post Lisa. You covered the pros and cons of public opinion and didn\\'t shy away from stating your own. Kudos. I feel it\\'s your duty to say where you stand in full transparency and to balance the press that SGK is getting for the opposite reason. If both opinions are not provided then only ONE opinion will be weighed. Readers deserve both. The difference is that you stood for yourself, not for Elisa or Jory. SGK leaders weren\\'t so transparent, they instead used the entire organization to front their personal mission.\\n\\n \\n\\nOur online ""voice votes"" carry far more weight than the political elections. Once women understand that, they\\'ll understand their responsibility to say what they think often, loudly, and with civility.\\n\\n \\n\\nI am very dismayed by SGK\\'s stand because it is playing to politics and not helping women. I will not be supporting SGK any longer. There are many places that are more focused in their mission to help all women, Planned Parenthood is one of them. When I was a starving college student, PP was my primary health screener. Later I did volunteer work at PP to pay back for my healthcare; one of the things we were trained on was how to check yourself for lumps and why it was important. They have been consistent in their mission to help all women stay alive and healthy often during the most dire of times."""
"219","0","""Been a while. Its because people would rather have the C's then the bandwagoned Heat."""
"220","1","""Obviously you have never been there"""
"221","1","""I suppose the fact that Halliburton was the only company qualified doesn't mean anything to you."""
"222","0","""You are a lying son of a bitch. \xa0Let's see you post some facts supporting your assertion."""
"223","1","""Irresponsible Headline and Journalism. Sensationalism at it's best. I guess you guys will do anything to sell newspapers - even using misleading headlines.\xa0Please explain how is this a gift? It is an investment by our country."""
"224","1","""Hey right wing moron ""You Kidding Me"", you're the cutest little GOP whine baby on this forum."""
"225","1","""pussy ass hole movie chatta ra pawan hit ivvaledani edo cinema gabbar singh chusi frustration lo inka medata hit istado ledo ani gs bagundi antunnaru movie worst panja 100% better annavaram 1000% better than gabbar singh"""
"226","1","""..........RON PAUL....is / was.....ALWAYS...for YEARS....BATSHIT CRAZY!!"""
"227","0","""Bush has been long gone. Don't you lib itur ds have anything be tter to cam pair Ba ry to??? If not then shut your Ob ummer hol e."""
"228","1","""No shut up. Black people don't need to be 'approved of' or 'pretty enough' for the Korean people. Fuck that shit. I am SO sick of black fans thinking that way. Truth is most Korean people don't find dark skin beautiful. Period. They also stereotype us as criminals and slutty. It's not US that need to change to fit their ideals, THEY have to change their backwards ass\xa0ignorant\xa0racist way of thinking. So you can take your 'Michelle is not idol material' and shove it please."""
"229","1","""Kind of hard to be a suicide bomber when you are inside an Ironlung."""
"230","1","""lol they did forget to put the feet on in the scene in the kitchen"""
"231","1","""All it takes for the others to become legal, is supporters such as yourself and your governors signature.\\xc2\\xa0 As proven with this gay marriage law."""
"232","1","""wow you talk about fatigue Lakers need some rest"""
"233","1","""You do know you are an asshole and started all the shit with him. You Jews have been doing the same for years. Banning together to the detriment of decent people. Another reason most in the world would cheer for the Nazis today.&nbsp;"""
"234","1","""How about the lefts war on American Constitution?\xa0 You were including Mitt as a lefty aren't you."""
"235","1","""Moss you are a real chop......wake up and smell the roses bud..."""
"236","0","""another lefty trying to look like a right-wing racist. \xa0The dems are the racists ... period!"""
"237","1","""Before making a stupida$$ comment....you dumbfuck......try looking up her picture first!\xa0 She is white and very over-weight."""
"238","0","""As is your mother. . . . .who is the.beastiality whore.\xa0\n\nLighten up. . . . ""It's comedy!!"" \xa0Bwaaaaaaaaaaaaaaaaaahh!!"""
"239","1","""You should have someone proof read your posts."""
"240","1","""I'm used to idiots like you jumping in <b>AFTER</b> your team actually does something.   I've been here and will continue to be here after you're long gone because the niners will suck again soon."""
"241","0","""No KKKonservative SunMedia and fans here are the true racist, they are here all day everyday spitting hateful venom, I just do the same in reverse. If you have a problem with me, then say something to them! Unless you are a KKKonservative racist too? hmm."""
"242","1","""NO MORE government jobs, no more subsidies, no more health benefits, no medicare, social security, etc."""
"243","0","""morcar ...you are hilarious\n\xa0\nThe whole world was at war with the nazis and it took 6 years to defeat them\xa0but u expect a small village full of farmers and the likes to have stopped them???\n\xa0\nOn what planet were you born???"""
"244","1","""What the fuck?"""
"245","0","""And your point is?"""
"246","1","""so you fuck your 3 dogs, your a sick fuuk.\nby bitches i was talking about women.\nbut the point you just tried to make makes me want to fuk you up even more."""
"247","0","""You are disgusting.  Absolutely disgusting.  There is a young woman clinging to life and you feel the need to pass judgement.  Judge not lest you be judged."""
"248","0","""Actually the US needs to walk its own talk!  We preach to others about human rights but it's the US killing people (and its own citizens) with drones on presidential say-so!  Have you been living under a rock for thepast decade?  Our Consitution (Bill of Rights) is being shredded!  The US is trying to suck Uzbekistani balls for the energy game and to establish US forces in the region to ""contain""Chinese influence in their OWN BACKYARD!  (The Usbek gov't makes China look like a bunch of liberals!)"""
"249","1","""I was messing with that girl and you guys all stepped up like its your business lol get a life people...it's a forum...not real life"""
"250","0","""Okay Booby, I don't let my kids watch FOX cartoons or shows after 7 PM, because they sell and push sexual promiscuity no family values.\\n\\nI'm merely pointing out all the ass-clowns who are being duped by this International Media Giant that has an agenda. There is nothing Fair and Balanced about FOX, and they are definitely not promoting Family Values. \\n\\nBut they are very good at packaging it so morons believe they are..\\n\\nSo by all means continue to be programmed and watch your FOX news. """
"251","0","""<strong>Me and mine are just back-up singers here, part of the Joe.My.God. choir.....and I say: YES TO EVERYTHING MR. BEEBLMEYER stated above. and to the critic of joe jervis: I say: HORSEPISS!&nbsp;&nbsp; News is da&nbsp;news; and ya print the truth, that is the whole fucking point.&nbsp; Well done Joe.&nbsp;</strong>"""
"252","1","""fuCk . i love this brand gibson"""
"253","1","""@butch.fries The prayer breakfast has been going on for years and presidents over the decades have gone to these events."""
"254","1","""He seemed very sour that first hour or so. Like I was saying, I think he shines on the stuff that means more to him. I was still elated to see him live finally."""
"255","1","""aww, poor baby\n\nI think you're just jealous because you spent your spring break at the pond in te back of the trailer park with the other idiot rednecks"""
"256","0","""We know whom Obama loves.....himself, only and always."""
"257","1","""<span><span><span><span>Chiara, hai fatto tutto da sola. Io ho commentato quello che ho letto sottolineando una tendenza generale.\r\n</span></span></span></span>"""
"258","0","""@shooter \xa0\xa0@TPBderek See just like I said - someone has to fucking score."""
"259","0","""How are the Dodgers a One Man Show? Kemp didn't play 15 games and they still kept on winning"""
"260","1","""So are you better off now than you were before BHO was elected?"""
"261","0","""Go change your tampon maggot!"""
"262","1","""Come back when you are out of puberty."""
"263","0","""Like if you were unable to read this comment because other comments loaded so fast."""
"264","1","""Is English your second language?"""
"265","1","""you are right, but first we must find out who are the real BH, who tell the pastor that\xa0 BH are in town. how do they know? why didn't they arrest those who attended the meeting? who order the army to go?\xa0 who........, why..... how......?"""
"266","1","""^^i was thinking the same thing"""
"267","1","""YOU ARE THE REAL @SSHO LE AND I HOPE PEOPLE ON HERE REALIZE THAT YOU ARE A PRETENDER"""
"268","1","""This whole\\xc2\\xa0 David Brock/Media Matters things now explains why so many of his trolls are homosexual activists.\\xc2\\xa0\\xc2\\xa0 When you read the bloggers, it at first seems like there are a lot of homosexual activists blogging, but it really is just one big David Brock \\xe2\\x80\\x9cBorg\\xe2\\x80\\x9d.\\xc2\\xa0\\xc2\\xa0\\xc2\\xa0\\xc2\\xa0\\xc2\\xa0 Usually, the David Brock Borg homosexual bloggers all say the same things.\\xc2\\xa0\\xc2\\xa0\\xc2\\xa0 They all slander Fox News.\\xc2\\xa0 They all slander Christians.\\xc2\\xa0 They all attack (in unison) whatever Republican candidate is at the top during any particular week.\\nDavid Brock \\xc2\\xa0wrote of his experience at Berkely:\\n\\xe2\\x80\\x9cAt Berkeley, I had no cause to associate conservatism with prejudice against gays. In the early \\xe2\\x80\\x9880s gay issues weren\\xe2\\x80\\x99t polarizing our campus\\xe2\\x80\\xa6since arriving in Berkeley I no longer put aside my deeper desires. With some hesitation, during my freshman year, I went on uneasy dates and had hurried \\xc2\\xa0s e x u a l encounters with other guys in neighboring dorms. By the end of the year I considered myself gay and had surprisingly little trouble accepting that reality\\xe2\\x80\\xa6.\\xe2\\x80\\x9d \\nDuring the summer after his freshman year, he writes, he was attracted to a fellow student (referred to in his book as \\xe2\\x80\\x9cAndrew\\xe2\\x80\\x9d), \\xe2\\x80\\x9ca blond, blue-eyed dreamboat of the Brad Pitt variety\\xe2\\x80\\xa6\\xe2\\x80\\x9d while they both worked with CalPIRG (the California Public Interest Group). \\n\\xc2\\xa0"""
"269","1","""Romney Steps In It With Gay Marriage Line\\n\\nVia Buzzfeed, which missed something of an attack angle from the right in this short Romney riff on gay marriage. Romney says he wanted to stop the gay marriage ruling so it didn't go across the country. \\n\\nToo bad he wasn't thinking that way when he implemented the model for Obamacare at the state-level as Romneycare, huh? Or, was he...?\\n\\nvideo of Romney.....\\n\\nhttp://www.youtube.com/watch?feature=player_embedded&v=rfpN_UWm_5A\\n\\nDan Riehl"""
"270","1","""You are welcome Nikky!"""
"271","1","""@JonKlimasIsNOT_A_BRONY\xa0\xa0http://imgur.com/r/funny/UUgKV"""
"272","0","""Is it just me, or can I not watch anything on this website anymore. I've tried several different computers and they all say the same thing, that's there's an error on #2048"""
"273","1","""shit quality. need better rip. ug its so hard to find high quality hard trance"""
"274","1","""Well your Buckwheat Obama would qualify fagg0t"""
"275","1","""Who cares now that we now that the gs3 is coming out . Fuck the evo"""
